StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,andrew id,FB use,gender,gender_3_TEXT,age,CTRL old likeliness_NPS_GROUP,CTRL old likeliness,CTRL old NPS_NPS_GROUP,CTRL old NPS,Q386,Logo preference,CUR logo like_NPS_GROUP,CUR logo like,CUR logo NPS_NPS_GROUP,CUR logo NPS,Q388_NPS_GROUP,Q388,Q389_NPS_GROUP,Q389,Q390,Q392,Q393_NPS_GROUP,Q393,Q394_NPS_GROUP,Q394
17-02-2024 12:51,17-02-2024 12:52,Survey Preview,,100,76,TRUE,17-02-2024 12:52,R_6MoMovBCnhdf8o5,,,,,40.4325,-79.863,preview,EN,0.899999976,bkraviku,5+,Male,,18 - 24,Promoter,10,Promoter,10,,Yes,Promoter,10,Promoter,10,,,,,,,,,,
18-02-2024 17:42,18-02-2024 17:43,Survey Preview,,100,48,TRUE,18-02-2024 17:43,R_1wvuU2R8vhqlQFH,,,,,40.4442,-79.9557,preview,EN,0.899999976,bkraviku,4,Male,,18 - 24,,,,,,,,,,,Promoter,10,Promoter,9,Minimalism,Yes,Promoter,10,Promoter,10
18-02-2024 17:44,18-02-2024 17:46,IP Address,128.2.149.230,100,135,TRUE,18-02-2024 17:46,R_5CJhVdWwThsuYpk,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,snamachi,1,Male,,18 - 24,Passive,7,Detractor,6,Sexy lady,No,Passive,8,Passive,8,,,,,,,,,,
18-02-2024 18:03,18-02-2024 18:05,IP Address,128.237.82.2,100,130,TRUE,18-02-2024 18:05,R_51h0e75JXkOVwIo,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,Rhutson,1,Female,,18 - 24,Detractor,0,Detractor,0,,No,Detractor,0,Detractor,0,,,,,,,,,,
20-02-2024 09:08,20-02-2024 09:09,IP Address,71.112.217.136,100,51,TRUE,20-02-2024 09:09,R_5P00urQKjh2NUnX,,,,,40.473,-79.9537,anonymous,EN,1,acollis,1,Male,,24+,,,,,,,,,,,Promoter,9,Detractor,6,"design, color",No,Detractor,5,Detractor,4
20-02-2024 10:40,20-02-2024 10:43,IP Address,173.75.15.134,100,158,TRUE,20-02-2024 10:43,R_5jHQ2fqIP4qjMzx,,,,,40.4324,-79.9247,anonymous,EN,0.899999976,yanluo,3,Female,,18 - 24,Passive,7,Detractor,6,,Yes,Detractor,4,Detractor,3,,,,,,,,,,
20-02-2024 11:18,20-02-2024 11:19,IP Address,75.32.13.57,100,63,TRUE,20-02-2024 11:19,R_1JLOLbmrB4LP11z,,,,,32.961,-96.9841,anonymous,EN,0.899999976,naveen,1,Male,,24+,,,,,,,,,,,Passive,7,Detractor,5,,No,Detractor,5,Detractor,5
20-02-2024 11:50,20-02-2024 11:54,IP Address,173.75.1.182,100,250,TRUE,20-02-2024 11:54,R_72DdwDrjuFYDDoF,,,,,40.4324,-79.9247,anonymous,EN,1,yufeilei,4,Female,,18 - 24,,,,,,,,,,,Detractor,6,Passive,7,,Yes,Passive,7,Passive,8
20-02-2024 12:12,20-02-2024 12:13,IP Address,128.237.82.4,100,55,TRUE,20-02-2024 12:13,R_6hbv6ZQJ62wgooG,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,anqiwu,1,Female,,18 - 24,Detractor,6,Passive,8,Big words,No,Promoter,9,Promoter,9,,,,,,,,,,
20-02-2024 12:19,20-02-2024 12:20,IP Address,76.125.201.200,100,108,TRUE,20-02-2024 12:20,R_5kV2Oou5zr4Rtvj,,,,,40.4442,-79.9557,anonymous,EN,0.899999976,yuesun,2,Female,,24+,,,,,,,,,,,Promoter,10,Detractor,5,It makes me feel healthy lol,No,Detractor,4,Detractor,4
